"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000024479.2",755.337961702612,7.38634124684382,0.321208705218842,22.995457865351,5.17554345534248e-117,1.72617100981873e-114
"ENSMUSG00000018920.11",364.666512974815,3.70782820667541,0.163770176241365,22.640436078,1.7332049818307e-113,5.68742828312026e-111
"ENSMUSG00000042377.8",353.15039568286,4.35685550766032,0.193111061434329,22.561397960841,1.03790544004589e-112,3.35177558376724e-110
"ENSMUSG00000021118.7",402.89898869874,5.27552779980038,0.234225730134886,22.5232633355964,2.45599778930465e-112,7.80738672240673e-110
"ENSMUSG00000030513.14",1241.52816274345,2.47658163639306,0.109992030053799,22.516009888914,2.89272490047313e-112,9.05422893848088e-110
"ENSMUSG00000020435.17",379.583041949584,4.64265903964451,0.206359976716082,22.4978656885199,4.35520781552949e-112,1.34252580313557e-109
"ENSMUSG00000084128.10",460.467260106549,4.29986729911263,0.191259772466631,22.4818174970004,6.25264387414364e-112,1.89865730775302e-109
"ENSMUSG00000026380.10",355.386628950894,4.90687674460761,0.220741354615359,22.2290777963097,1.79789959348289e-109,5.37915694550138e-107
"ENSMUSG00000022865.13",1145.35750813416,3.45012906960749,0.156296829777729,22.0742101712104,5.59330059875334e-108,1.64921305335705e-105
"ENSMUSG00000044041.4",974.343765132352,8.60768315570658,0.391444813396631,21.9895189848507,3.62813076289608e-107,1.05449029101601e-104
"ENSMUSG00000044017.16",445.018407407598,6.28245088420097,0.286008357083715,21.9659696250138,6.09425486144353e-107,1.74630443881787e-104
"ENSMUSG00000068876.14",640.500889282603,7.58211544318825,0.346520307343936,21.8807246862525,3.96492961120476e-106,1.12036795749945e-103
"ENSMUSG00000038732.14",761.610567222437,2.9826045747134,0.136484883400672,21.853003060841,7.2785786998935e-106,2.02852991300457e-103
"ENSMUSG00000037411.10",7342.24465564285,-2.10994255713317,0.0966506926121446,-21.8305994515764,1.18851801280724e-105,3.26762148250855e-103
"ENSMUSG00000002799.5",378.740194260659,4.69210451722619,0.216007488712081,21.7219529989553,1.27252820180979e-104,3.4519448354427e-102
"ENSMUSG00000025813.14",501.023657234605,3.09509553322278,0.142497916921878,21.7202861633381,1.31954579620233e-104,3.53238937154426e-102
"ENSMUSG00000026110.15",403.464734293361,3.49254857796384,0.161157565761331,21.6716389420786,3.79987690433784e-104,1.00400643660719e-101
"ENSMUSG00000056724.14",632.937046430651,3.20660285286958,0.148475325518499,21.59687370054,1.92190185111632e-103,5.01296066166174e-101
"ENSMUSG00000063727.3",1672.77844768033,-2.42065078621835,0.112657448146301,-21.4868242273232,2.06780186895796e-102,5.32524418024679e-100
"ENSMUSG00000033987.16",766.576949627916,4.69336032762283,0.218550330028654,21.4749633505814,2.66930508084812e-102,6.78837648373187e-100
"ENSMUSG00000003279.16",493.240894811003,6.76690591615541,0.317336491482215,21.3240711288782,6.78880232126505e-101,1.70516275587824e-98
"ENSMUSG00000000308.14",377.688977964246,6.08423128812671,0.286635321533357,21.2263835998267,5.44983528261218e-100,1.35215730274079e-97
"ENSMUSG00000033644.4",532.509339001786,7.2429744670075,0.341736856091051,21.1945956015868,1.07114846094045e-99,2.62560426961849e-97
"ENSMUSG00000022665.14",16092.8633811017,-1.66585729099446,0.0786395499256295,-21.1834540326068,1.35707803369272e-99,3.28687530898553e-97
"ENSMUSG00000003526.11",337.909033020755,4.94366647499025,0.23445768515611,21.0855381929519,1.07978635471705e-98,2.58450039843747e-96
"ENSMUSG00000023043.6",434.067723495485,6.16176945885115,0.293383728358664,21.0024240039596,6.2323192636019e-98,1.47437831881373e-95
"ENSMUSG00000022055.7",431.170350530752,5.58029411818468,0.265837002844976,20.991412250607,7.85761805550663e-98,1.83750849815267e-95
"ENSMUSG00000041439.15",890.024546457146,2.8499372738736,0.136352981373774,20.9011731548523,5.22451327364363e-97,1.207871847185e-94
"ENSMUSG00000044646.14",638.352192130178,3.26863834809211,0.156654472493102,20.865273082044,1.10760172518737e-96,2.53192776392551e-94
"ENSMUSG00000016028.9",382.457056759654,6.34334091804114,0.304898223985152,20.8047814616003,3.91741410975652e-96,8.85553222922183e-94
"ENSMUSG00000017861.11",456.496547412729,3.32752969406921,0.160016649014,20.7948967471384,4.8138890851489e-96,1.07624805975115e-93
"ENSMUSG00000029832.16",326.867402493953,4.89400772183009,0.235973334132591,20.7396642498605,1.51982678400665e-95,3.36096477397992e-93
"ENSMUSG00000021678.8",345.697574056459,4.22099949068936,0.203927165841771,20.6985639861462,3.56845231823682e-95,7.80646907683097e-93
"ENSMUSG00000057963.9",696.47592773108,3.18914794616506,0.154778228457973,20.6046288159385,2.49424380136558e-94,5.39844575944496e-92
"ENSMUSG00000041362.16",466.814816778283,3.38034424959644,0.164770273801008,20.5154981636971,1.56556572279628e-93,3.35278259266214e-91
"ENSMUSG00000025582.4",426.659285005492,3.10692515846876,0.151509318296598,20.506495530437,1.88388678313691e-93,3.99246631280422e-91
"ENSMUSG00000028179.12",532.680296223311,3.04253917546302,0.148456639748625,20.4944634380437,2.41231025645468e-93,5.05963424407942e-91
"ENSMUSG00000030353.15",648.585046873896,2.66762348260315,0.130250857240522,20.4806596986698,3.20291217433973e-93,6.64931103948386e-91
